A20301	Café	das	-s	french origin		Kommst du mit ins Café? Ich möchte gern einen Kaffee trinken.	Coffee shop	Are you coming to the café? I'd like to have a coffee.	[sound:word_A20301.mp3]	[sound:sentence_A20301.mp3]
A20302	Cafeteria	die	-s			Ich gehe jetzt in die Cafeteria. Soll ich dir etwas mitbringen?	cafeteria	I'm going to the cafeteria now. Shall I bring you something?	[sound:word_A20302.mp3]	[sound:sentence_A20302.mp3]
A20303	chatten				chattet, hat gechattet	Luis chattet gern mit seinen Freunden im Internet.	to chat	Luis enjoys chatting with his friends on the Internet.	[sound:word_A20303.mp3]	[sound:sentence_A20303.mp3]
A20304	Chef	der	-s			Wir haben einen neuen Chef.	male boss	We have a new boss.	[sound:word_A20304.mp3]	[sound:sentence_A20304.mp3]
A20305	Chefin	die	-nen			Wir haben eine neue Chefin.	female boss	We have a new boss.	[sound:word_A20305.mp3]	[sound:sentence_A20305.mp3]
A20306	Club	der	-s	auch Klub geschrieben		Gibt es hier einen Tennis-Club?	club	Is there a tennis club here?	[sound:word_A20306.mp3]	[sound:sentence_A20306.mp3]
A20307	Club	der	-s	auch Klub geschrieben		Ich möchte gern tanzen gehen. Wo gibt es hier einen Club mit guter Musik?	club	I would like to go dancing. Where is there a club with good music?	[sound:word_A20307.mp3]	[sound:sentence_A20307.mp3]
A20308	Comic	das	-s			Mein Sohn liest immer nur Comics.	comic	My son only ever reads comics.	[sound:word_A20308.mp3]	[sound:sentence_A20308.mp3]
A20309	Computer	der	-			Wann bekommst du deinen neuen Computer?	computer	When will you get your new computer?	[sound:word_A20309.mp3]	[sound:sentence_A20309.mp3]
A20310	Creme	die	-s/-n			Ich suche eine Creme für die Hände.	cream	I am looking for a cream for my hands.	[sound:word_A20310.mp3]	[sound:sentence_A20310.mp3]
A20311	Creme	die	-s/-n			Der Kuchen schmeckt super! Was ist in der Creme? - Das ist eine Buttercreme mit viel Schokolade.	cream	The cake tastes great! What's in the cream? - It's a buttercream with lots of chocolate.	[sound:word_A20311.mp3]	[sound:sentence_A20311.mp3]
A20312	da					Welche Bluse nehmen Sie? - Die da.	there	Which blouse do you choose? - That one.	[sound:word_A20312.mp3]	[sound:sentence_A20312.mp3]
A20313	da					Wir sprechen gerade über Paul. Da kommt er ja.	there	We're talking about Paul right now. Here he comes.	[sound:word_A20313.mp3]	[sound:sentence_A20313.mp3]
A20314	da					Ist Herr Klein schon da?	there	Has Mr Klein arrived yet?	[sound:word_A20314.mp3]	[sound:sentence_A20314.mp3]
A20315	da					Da drüben ist der Bahnhof.	there	The railway station is over there.	[sound:word_A20315.mp3]	[sound:sentence_A20315.mp3]
A20316	darauf					Darauf fällt mir keine Antwort ein.	afterwards / after that / thereon	I can't think of an answer to that.	[sound:word_A20316.mp3]	[sound:sentence_A20316.mp3]
A20317	darüber					Darüber spreche ich nicht gern.	about that	I don't like to talk about that.	[sound:word_A20317.mp3]	[sound:sentence_A20317.mp3]
A20318	dabei sein				ist dabei, war dabei, ist dabei gewesen	Hast du einen Stift dabei?	to be present / to be there	Have you got a pen with you?	[sound:word_A20318.mp3]	[sound:sentence_A20318.mp3]
A20319	dabei sein				ist dabei, war dabei, ist dabei gewesen	Schön, dass du da bist. Ist deine Familie auch dabei?	to be present / to be there	Nice that you're here. Is your family there too?	[sound:word_A20319.mp3]	[sound:sentence_A20319.mp3]
A20320	dafür sein				ist dafür, war dafür, ist dafür gewesen	Ich bin dafür.	to be for it	I am in favour.	[sound:word_A20320.mp3]	[sound:sentence_A20320.mp3]
A20321	dagegen sein				ist dagegen, war dagegen, ist dagegen gewesen	Ich bin dagegen.	be against	I am against it.	[sound:word_A20321.mp3]	[sound:sentence_A20321.mp3]
A20322	damals					Als Student hatte ich viel Zeit und wollte reisen, aber damals hatte ich kein Geld.	back then	As a student, I had a lot of time and wanted to travel, but I didn't have any money back then.	[sound:word_A20322.mp3]	[sound:sentence_A20322.mp3]
A20323	Dame	die	-n			Damen (an der Toilette)	lady	Ladies (at the toilet)	[sound:word_A20323.mp3]	[sound:sentence_A20323.mp3]
A20324	Dame	die	-n			Sehr geehrte Damen und Herren	lady	Dear Sir or Madam	[sound:word_A20324.mp3]	[sound:sentence_A20324.mp3]
A20325	daneben					Du weißt doch, wo die Post ist. Daneben ist die Bank.	aside / beside	You know where the post office is. The bank is next door.	[sound:word_A20325.mp3]	[sound:sentence_A20325.mp3]
A20326	Dank	der	(Sg.)			Vielen Dank!	thanks	Thank you very much!	[sound:word_A20326.mp3]	[sound:sentence_A20326.mp3]
A20327	Dank	der	(Sg.)			Herzlichen Dank!	thanks	Thank you very much!	[sound:word_A20327.mp3]	[sound:sentence_A20327.mp3]
A20328	danke					Soll ich Ihnen helfen? - Sehr freundlich, ja danke!	Thank you	Shall I help you? - Very kindly, yes thank you!	[sound:word_A20328.mp3]	[sound:sentence_A20328.mp3]
A20329	danke					Guten Appetit! - Danke gleichfalls.	Thank you	Enjoy your meal! - Thank you as well.	[sound:word_A20329.mp3]	[sound:sentence_A20329.mp3]
A20330	danken				dankt, hat gedankt	Ich danke Ihnen für die Einladung.	to thank	Thank you for the invitation.	[sound:word_A20330.mp3]	[sound:sentence_A20330.mp3]
A20331	dann					Ich muss noch schnell zur Post, dann komme ich.	then	I have a quick trip to the post office, then I'll be there.	[sound:word_A20331.mp3]	[sound:sentence_A20331.mp3]
A20332	dann					Wenn es nicht regnet, dann kommen wir.	then	If it doesn't rain, we'll come.	[sound:word_A20332.mp3]	[sound:sentence_A20332.mp3]
A20333	dass					Rico hat gesagt, dass er auch zur Party kommt.	that	Rico has said that he's also coming to the party.	[sound:word_A20333.mp3]	[sound:sentence_A20333.mp3]
A20334	dass					Ich finde es super, dass du mich besuchst.	that	I think it's great that you're visiting me.	[sound:word_A20334.mp3]	[sound:sentence_A20334.mp3]
A20335	Datei	die	-en			Wo hast du die Datei gespeichert?	file	Where did you save the file?	[sound:word_A20335.mp3]	[sound:sentence_A20335.mp3]
A20336	Datei	die	-en			Kannst du die Datei bitte öffnen?	file	Can you please open the file?	[sound:word_A20336.mp3]	[sound:sentence_A20336.mp3]
A20337	Datum	das	-en			Bitte Datum und Unterschrift nicht vergessen!	date	Please do not forget date and signature!	[sound:word_A20337.mp3]	[sound:sentence_A20337.mp3]
A20338	Datum	das	-en			Welches Datum haben wir heute?	date	What is today's date?	[sound:word_A20338.mp3]	[sound:sentence_A20338.mp3]
A20339	Datum	das	-en			Haben Sie meine Kontaktdaten?	date	Do you have my contact details?	[sound:word_A20339.mp3]	[sound:sentence_A20339.mp3]
A20340	dauern				dauert, hat gedauert	Wie lange dauert die Pause? - Eine halbe Stunde.	to last	How long does the break last? - Half an hour.	[sound:word_A20340.mp3]	[sound:sentence_A20340.mp3]
A20341	denken				denkt, hat gedacht	Ich denke, du hast recht.	to think	I think you're right.	[sound:word_A20341.mp3]	[sound:sentence_A20341.mp3]
A20342	denken				denkt, hat gedacht	Ich denke oft an meine Freundin.	to think	I often think about my girlfriend.	[sound:word_A20342.mp3]	[sound:sentence_A20342.mp3]
A20343	denken				denkt, hat gedacht	Was denktst du? Sollen wir heute Abend ins Kino gehen?	to think	What do you think? Should we go to the cinema tonight?	[sound:word_A20343.mp3]	[sound:sentence_A20343.mp3]
A20344	denn					Ich kann nicht kommen, denn ich bin krank.	because	I can't come because I'm ill.	[sound:word_A20344.mp3]	[sound:sentence_A20344.mp3]
A20345	deshalb					Ich bin krank. Deshalb komme ich heute nicht ins Büro.	therefore / that's why	I'm ill. That's why I'm not coming into the office today.	[sound:word_A20345.mp3]	[sound:sentence_A20345.mp3]
A20346	deutlich					Sprechen Sie bitte deutlich!	clear	Please speak clearly!	[sound:word_A20346.mp3]	[sound:sentence_A20346.mp3]
A20347	deutlich					Können Sie das bitte deutlicher schreiben? Ich kann das nicht lesen.	clear	Can you write that more clearly, please? I can't read it.	[sound:word_A20347.mp3]	[sound:sentence_A20347.mp3]
A20348	dick					Ich bin zu dick. Ich muss weniger essen.	thick	I am too fat. I need to eat less.	[sound:word_A20348.mp3]	[sound:sentence_A20348.mp3]
A20349	Ding	das	-e			Gib mir bitte mal das Ding da drüben!	thing	Give me that thing over there, please!	[sound:word_A20349.mp3]	[sound:sentence_A20349.mp3]
A20350	Ding	das	-e			Was macht man mit diesem Ding? - Damit kann man Flaschen öffnen.	thing	What do you do with this thing? - You can open bottles with it.	[sound:word_A20350.mp3]	[sound:sentence_A20350.mp3]
A20351	direkt					Wir wohnen direkt über dem Café.	directly	We live directly above the café.	[sound:word_A20351.mp3]	[sound:sentence_A20351.mp3]
A20352	direkt					Ich möchte nicht direkt nach der Schule studieren, ich möchte erst reisen.	directly	I don't want to study straight after school, I want to travel first.	[sound:word_A20352.mp3]	[sound:sentence_A20352.mp3]
A20353	direkt					Gibt es keinen direkten Zug nach Hamburg? - Nein, da müssen Sie immer umsteigen.	directly	Is there no direct train to Hamburg? - No, you always have to change trains.	[sound:word_A20353.mp3]	[sound:sentence_A20353.mp3]
A20354	direkt					Wir liefern Ihnen das Sofa direkt ins Haus.	directly	We deliver the sofa directly to your home.	[sound:word_A20354.mp3]	[sound:sentence_A20354.mp3]
A20355	Disco	die	-s	auch Disko geschrieben		Wir gehen heute Abend in die Disco.	Disco	We're going to the disco tonight.	[sound:word_A20355.mp3]	[sound:sentence_A20355.mp3]
A20356	diskutieren				diskutiert, hat diskutiert	Ich möchte das mit meinen Kollegen diskutieren.	to discuss	I would like to discuss this with my colleagues.	[sound:word_A20356.mp3]	[sound:sentence_A20356.mp3]
A20357	doch					Hast du keinen Hunger? - Doch, ich bin sehr hungrig.	still / however / but	Aren't you hungry? - Yes, I am very hungry.	[sound:word_A20357.mp3]	[sound:sentence_A20357.mp3]
A20358	doch					Kannst du morgen nicht kommen? - Doch.	still / however / but	Can't you come tomorrow? - Yes, I can.	[sound:word_A20358.mp3]	[sound:sentence_A20358.mp3]
A20359	doch					Geh doch mal wieder ins Kino!	still / however / but	Go to the cinema again!	[sound:word_A20359.mp3]	[sound:sentence_A20359.mp3]
A20360	doch					Das macht doch nichts!	still / however / but	That doesn't matter!	[sound:word_A20360.mp3]	[sound:sentence_A20360.mp3]
A20361	Doppelzimmer	das	-			Möchten Sie ein Doppelzimmer oder ein Einzelzimmer?	double room	Would you like a double room or a single room?	[sound:word_A20361.mp3]	[sound:sentence_A20361.mp3]
A20362	Dorf	das	"""-er"			Unser Dorf liegt direkt an der Autobahn.	village	Our village is located directly on the motorway.	[sound:word_A20362.mp3]	[sound:sentence_A20362.mp3]
A20363	Dorf	das	"""-er"			Meine Familie lebt in einem Dorf.	village	My family lives in a village.	[sound:word_A20363.mp3]	[sound:sentence_A20363.mp3]
A20364	dort					Wir treffen uns vor dem Kino. - Gut, ich bin in fünf Minuten dort.	there	We meet in front of the cinema. - Good, I'll be there in five minutes.	[sound:word_A20364.mp3]	[sound:sentence_A20364.mp3]
A20365	dort					Dort ist unser Haus.	there	That's where our house is.	[sound:word_A20365.mp3]	[sound:sentence_A20365.mp3]
A20366	dort					Kommst du mit in die Stadt? - Nein, ich komme gerade von dort.	there	Are you coming into town? - No, I've just come from there.	[sound:word_A20366.mp3]	[sound:sentence_A20366.mp3]
A20367	dorther					Kommst du mit in die Stadt? - Nein, ich komme gerade dorther.	thence / from there	Are you coming into town? - No, I've just come from there.	[sound:word_A20367.mp3]	[sound:sentence_A20367.mp3]
A20368	dorthin					Deine Tasche kannst du dorthin stellen.	to there	You can put your bag there.	[sound:word_A20368.mp3]	[sound:sentence_A20368.mp3]
A20369	draußen					Das Wetter ist so schön. Wollen wir draußen sitzen?	outside	The weather is so nice. Shall we sit outside?	[sound:word_A20369.mp3]	[sound:sentence_A20369.mp3]
A20370	draußen					Hunde müssen draußen bleiben.	outside	Dogs must stay outside.	[sound:word_A20370.mp3]	[sound:sentence_A20370.mp3]
A20371	dringend					Bitte kommen Sie schnell. Es ist dringend.	urgent	Please come quickly. It is urgent.	[sound:word_A20371.mp3]	[sound:sentence_A20371.mp3]
A20372	drinnen					Wollen Sie drinnen oder draußen sitzen?	indoors	Do you want to sit inside or outside?	[sound:word_A20372.mp3]	[sound:sentence_A20372.mp3]
A20373	drinnen					Hier drinnen ist es sehr warm.	indoors	It's very warm in here.	[sound:word_A20373.mp3]	[sound:sentence_A20373.mp3]
A20374	drüben					Da drüben ist die Haltestelle.	over there	The bus stop is over there.	[sound:word_A20374.mp3]	[sound:sentence_A20374.mp3]
A20375	drücken				drückt, hat gedrückt	An dieser Tür musst du drücken, nicht ziehen, dann geht sie auf.	to press	You have to push this door, not pull it, then it will open.	[sound:word_A20375.mp3]	[sound:sentence_A20375.mp3]
A20376	drücken				drückt, hat gedrückt	Drücken Sie „Bestätigen“!	to press	"Press ""Confirm""!"	[sound:word_A20376.mp3]	[sound:sentence_A20376.mp3]
A20377	drücken				drückt, hat gedrückt	Meine Schuhe drücken.	to press	My shoes pinch.	[sound:word_A20377.mp3]	[sound:sentence_A20377.mp3]
A20378	drucken				druckt, hat gedruckt	Wähle einfach „Datei drucken“!	to print	"Simply select ""Print file""!"	[sound:word_A20378.mp3]	[sound:sentence_A20378.mp3]
A20379	Drucker	der	-			Mein Drucker ist kaputt.	printer	My printer is broken.	[sound:word_A20379.mp3]	[sound:sentence_A20379.mp3]
A20380	dumm					Ich finde den Film dumm.	stupid	I think the film is stupid.	[sound:word_A20380.mp3]	[sound:sentence_A20380.mp3]
A20381	dumm					Entschuldigung, das war dumm von mir.	stupid	Sorry, that was stupid of me.	[sound:word_A20381.mp3]	[sound:sentence_A20381.mp3]
A20382	dumm					Das ist mir zu dumm.	stupid	That's too stupid for me.	[sound:word_A20382.mp3]	[sound:sentence_A20382.mp3]
A20383	dunkel					Um sechs Uhr ist es schon dunkel.	dark	It's already dark by six o'clock.	[sound:word_A20383.mp3]	[sound:sentence_A20383.mp3]
A20384	dunkel					Meine Schwester hat dunkle Haare.	dark	My sister has dark hair.	[sound:word_A20384.mp3]	[sound:sentence_A20384.mp3]
A20385	dunkel					Ich will eine dunkelblaue Bluse kaufen.	dark	I want to buy a dark blue blouse.	[sound:word_A20385.mp3]	[sound:sentence_A20385.mp3]
A20386	dünn					Das Buch ist sehr dünn. Es hat nur 40 Seiten.	thin	The book is very thin. It only has 40 pages.	[sound:word_A20386.mp3]	[sound:sentence_A20386.mp3]
A20387	dünn					Mein Bruder ist 1,80 Meter groß und 62 Kilo schwer, er ist zu dünn.	thin	My brother is 1.80 metres tall and weighs 62 kilos, he's too thin.	[sound:word_A20387.mp3]	[sound:sentence_A20387.mp3]
A20388	durch					Am besten gehen Sie durch die Tengstraße.	by	The best way to get there is through Tengstraße.	[sound:word_A20388.mp3]	[sound:sentence_A20388.mp3]
A20389	durch					Wir fahren mit dem Fahrrad durch den Wald.	by	We cycle through the forest.	[sound:word_A20389.mp3]	[sound:sentence_A20389.mp3]
A20390	dürfen				darf, durfte, hat gedurft	Sie dürfen hier nicht parken.	can / may / to be allowed to do (sth.)	You are not allowed to park here.	[sound:word_A20390.mp3]	[sound:sentence_A20390.mp3]
A20391	dürfen				darf, durfte, hat gedurft	Dürfen wir heute länger fernsehen?	can / may / to be allowed to do (sth.)	Are we allowed to watch TV for longer today?	[sound:word_A20391.mp3]	[sound:sentence_A20391.mp3]
A20392	dürfen				darf, durfte, hat gedurft	Darf ich Sie zu einem Kaffee einladen?	can / may / to be allowed to do (sth.)	May I invite you for a coffee?	[sound:word_A20392.mp3]	[sound:sentence_A20392.mp3]
A20393	Durst	der	(Sg.)			Hast du etwas zu trinken? Ich habe großen Durst.	thirst	Have you got something to drink? I'm very thirsty.	[sound:word_A20393.mp3]	[sound:sentence_A20393.mp3]
A20394	Dusche	die	-n			Unsere Wohnung hat nur eine Dusche.	shower	Our flat only has a shower.	[sound:word_A20394.mp3]	[sound:sentence_A20394.mp3]
A20395	sich duschen				duscht, hat geduscht	Ich bade nicht so gern, ich dusche lieber.	to take a shower	I don't like bathing that much, I prefer showering.	[sound:word_A20395.mp3]	[sound:sentence_A20395.mp3]
A20396	sich duschen				duscht, hat geduscht	Möchten Sie sich duschen? Das Badezimmer ist dort hinten links.	to take a shower	Would you like to take a shower? The bathroom is back there on the left.	[sound:word_A20396.mp3]	[sound:sentence_A20396.mp3]
A20397	E-Book	das	-s			Liest du lieber E-Books oder Bücher aus Papier?	E-Book	Do you prefer reading e-books or paper books?	[sound:word_A20397.mp3]	[sound:sentence_A20397.mp3]
A20398	E-Book	das	-s			Entschuldigung, kann man hier E-Books kaufen?	E-Book	Excuse me, can you buy e-books here?	[sound:word_A20398.mp3]	[sound:sentence_A20398.mp3]
A20399	echt					Ist das Bild ein echter Picasso?	real	Is the painting a real Picasso?	[sound:word_A20399.mp3]	[sound:sentence_A20399.mp3]
A20400	echt					Der Film ist echt gut.	real	The film is really good.	[sound:word_A20400.mp3]	[sound:sentence_A20400.mp3]
A20401	Ecke	die	-n			Gehen Sie an der nächsten Ecke links, dann kommen Sie zur Apotheke.	corner	Turn left at the next corner and you will come to the pharmacy.	[sound:word_A20401.mp3]	[sound:sentence_A20401.mp3]
A20402	Ecke	die	-n			Wir stellen das Regal in die Ecke.	corner	We put the shelf in the corner.	[sound:word_A20402.mp3]	[sound:sentence_A20402.mp3]
A20403	egal					Das ist mir egal.	equal / whatever	I don't care about that.	[sound:word_A20403.mp3]	[sound:sentence_A20403.mp3]
A20404	egal					Willst du Tee oder Kaffee trinken? - Egal.	equal / whatever	Do you want to drink tea or coffee? - Doesn't matter.	[sound:word_A20404.mp3]	[sound:sentence_A20404.mp3]
A20405	Ehefrau	die	-en			Das ist mein Ehemann.	wife	This is my husband.	[sound:word_A20405.mp3]	[sound:sentence_A20405.mp3]
A20406	Ehemann	der	"""-er"			Das ist meine Ehefrau.	husband	This is my wife.	[sound:word_A20406.mp3]	[sound:sentence_A20406.mp3]
A20407	Ehepartner	der	-			Das ist mein Ehepartner.	spouse	This is my spouse.	[sound:word_A20407.mp3]	[sound:sentence_A20407.mp3]
A20408	Ei	das	-er			Möchtest du ein Ei zum Frühstück?	egg	Would you like an egg for breakfast?	[sound:word_A20408.mp3]	[sound:sentence_A20408.mp3]
A20409	eigenes			eigener, eigene		Nicht alle Kinder haben ein eigenes Zimmer.	own	Not all children have their own room.	[sound:word_A20409.mp3]	[sound:sentence_A20409.mp3]
A20410	eigentlich					Wir wollten eigentlich Freunde besuchen, aber dann sind wir doch zu Hause geblieben.	actually	We actually wanted to visit friends, but then we stayed at home.	[sound:word_A20410.mp3]	[sound:sentence_A20410.mp3]
A20411	eigentlich					Kennst du eigentlich Susanne?	actually	Do you actually know Susanne?	[sound:word_A20411.mp3]	[sound:sentence_A20411.mp3]
A20412	eilig					Hast du es eilig?	hurried	Are you in a hurry?	[sound:word_A20412.mp3]	[sound:sentence_A20412.mp3]
A20413	einfach					Die Prüfung ist ganz einfach.	easy	The test is very simple.	[sound:word_A20413.mp3]	[sound:sentence_A20413.mp3]
A20414	einfach					Ich verstehe das nicht. Kannst du es bitte einfacher sagen?	easy	I don't understand that. Can you put it more simply, please?	[sound:word_A20414.mp3]	[sound:sentence_A20414.mp3]
A20415	einfach					Hin und zurück? - Nein, bitte nur eine einfache Fahrt nach Berlin.	easy	There and back? - No, please just a one-way journey to Berlin.	[sound:word_A20415.mp3]	[sound:sentence_A20415.mp3]
A20416	Eingang	der	"""-e"			Der Eingang ist um die Ecke.	entrance	The entrance is round the corner.	[sound:word_A20416.mp3]	[sound:sentence_A20416.mp3]
A20417	einige					In diesem Text sind einige Fehler.	some	There are some errors in this text.	[sound:word_A20417.mp3]	[sound:sentence_A20417.mp3]
A20418	einige					Das dauert noch einige Zeit, bis das Essen fertig ist.	some	It still takes some time until the food is ready.	[sound:word_A20418.mp3]	[sound:sentence_A20418.mp3]
A20419	einkaufen				kauft ein, hat eingekauft	Ich muss noch für morgen einkaufen.	to shop / to do the shopping	I still have to do the shopping for tomorrow.	[sound:word_A20419.mp3]	[sound:sentence_A20419.mp3]
A20420	Einkaufszentrum	das	-en			Kommst du morgen mit ins Einkaufszentrum?	shopping mall	Are you coming to the shopping centre tomorrow?	[sound:word_A20420.mp3]	[sound:sentence_A20420.mp3]
A20421	einladen				lädt ein, hat eingeladen	Darf ich Sie zu einem Kaffee einladen?	to invite	May I invite you for a coffee?	[sound:word_A20421.mp3]	[sound:sentence_A20421.mp3]
A20422	Einladung	die	-en			Danke für die Einladung zu deinem Geburtstag!	invitation	Thank you for the invitation to your birthday!	[sound:word_A20422.mp3]	[sound:sentence_A20422.mp3]
A20423	einmal					Rufen Sie mich bitte morgen noch einmal an.	once	Please call me again tomorrow.	[sound:word_A20423.mp3]	[sound:sentence_A20423.mp3]
A20424	einmal					Ruf mich bitte morgen noch einmal an.	once	Please call me again tomorrow.	[sound:word_A20424.mp3]	[sound:sentence_A20424.mp3]
A20425	einmal					Diese Prüfung mache ich nicht noch einmal.	once	I won't take this test again.	[sound:word_A20425.mp3]	[sound:sentence_A20425.mp3]
A20426	einmal					Warst du schon einmal in Paris?	once	Have you ever been to Paris?	[sound:word_A20426.mp3]	[sound:sentence_A20426.mp3]
A20427	einpacken				packt ein, hat eingepackt	Pack bitte die Handtücher ein !	to wrap (sth.) / to pack (sth.)	Please pack the towels!	[sound:word_A20427.mp3]	[sound:sentence_A20427.mp3]
A20428	einpacken				packt ein, hat eingepackt	Soll ich Ihnen das als Geschenk einpacken?	to wrap (sth.) / to pack (sth.)	Would you like me to wrap this as a present?	[sound:word_A20428.mp3]	[sound:sentence_A20428.mp3]
A20429	einsteigen				steigt ein, ist eingestiegen	Schnell, steig ein, der Zug fährt gleich ab.	to get in / to board / to enter	Quick, get in, the train is about to leave.	[sound:word_A20429.mp3]	[sound:sentence_A20429.mp3]
A20430	einsteigen				steigt ein, ist eingestiegen	Bitte ab 20 Uhr vorn im Bus einsteigen.	to get in / to board / to enter	Please board at the front of the bus from 8 pm.	[sound:word_A20430.mp3]	[sound:sentence_A20430.mp3]
A20431	sich eintragen				trägt ein, hat eingetragen	Tragen Sie sich bitte in diese Liste ein !	to register / to sign in	Please add your name to this list !	[sound:word_A20431.mp3]	[sound:sentence_A20431.mp3]
A20432	sich eintragen				trägt ein, hat eingetragen	Sie müssen Ihren Namen und Ihre Adresse eintragen.	to register / to sign in	You must enter your name and address.	[sound:word_A20432.mp3]	[sound:sentence_A20432.mp3]
A20433	Eintritt	der	-e			Der Eintritt kostet fünf Euro.	entry	Admission costs five euros.	[sound:word_A20433.mp3]	[sound:sentence_A20433.mp3]
A20434	Eintritt	der	-e			Der Eintritt ist frei. Sie müssen nichts bezahlen.	entry	Admission is free. You do not have to pay anything.	[sound:word_A20434.mp3]	[sound:sentence_A20434.mp3]
A20435	einverstanden sein				ist einverstanden, war einverstanden, ist einverstanden gewesen	Als Termin schlage ich den 22. August vor. - Gut, ich bin einverstanden.	to agree	I suggest 22 August as the date. - Fine, I agree.	[sound:word_A20435.mp3]	[sound:sentence_A20435.mp3]
A20436	einverstanden sein				ist einverstanden, war einverstanden, ist einverstanden gewesen	Als Termin schlage ich den 11. Juni vor. - Gut, einverstanden.	to agree	I suggest 11 June as the date. - Okay, agreed.	[sound:word_A20436.mp3]	[sound:sentence_A20436.mp3]
A20437	einverstanden sein				ist einverstanden, war einverstanden, ist einverstanden gewesen	Bist du einverstanden, wenn wir bald nach Hause gehen?	to agree	Do you agree if we go home soon?	[sound:word_A20437.mp3]	[sound:sentence_A20437.mp3]
A20438	einzeln					Nicht alle zusammen. Könnt ihr bitte einzeln sprechen?	single / individual / separate	Not all together. Can you please speak individually?	[sound:word_A20438.mp3]	[sound:sentence_A20438.mp3]
A20439	Einzelkind	das				Florian ist ein Einzelkind. Er hat keine Geschwister.	the only child	Florian is an only child. He has no siblings.	[sound:word_A20439.mp3]	[sound:sentence_A20439.mp3]
A20440	Einzelzimmer	das				Ein Einzelzimmer ist noch frei.	single room	One single room is still available.	[sound:word_A20440.mp3]	[sound:sentence_A20440.mp3]
A20441	einziehen				zieht ein, ist eingezogen	Im Juni ziehen unsere neuen Nachbarn ein.	to move in	Our new neighbours move in in June.	[sound:word_A20441.mp3]	[sound:sentence_A20441.mp3]
A20442	einziehen				zieht ein, ist eingezogen	Wann können wir in die Wohnung einziehen?	to move in	When can we move into the flat?	[sound:word_A20442.mp3]	[sound:sentence_A20442.mp3]
A20443	Eis	das	(Sg.)			Möchtest du auch ein Eis?	ice cream	Would you like an ice cream too?	[sound:word_A20443.mp3]	[sound:sentence_A20443.mp3]
A20444	E-Mail	die	-s	auch Mail geschrieben		Ich schreibe dir eine E-Mail.	e-mail	I'll write you an e-mail.	[sound:word_A20444.mp3]	[sound:sentence_A20444.mp3]
A20445	E-Mail	die	-s	auch Mail geschrieben		Ich schreibe Ihnen eine E-Mail.	e-mail	I will write you an e-mail.	[sound:word_A20445.mp3]	[sound:sentence_A20445.mp3]
A20446	Empfänger	der	-			Auf dem Brief steht dein Name, also bist du der Empfänger.	receiver	The letter has your name on it, so you are the recipient.	[sound:word_A20446.mp3]	[sound:sentence_A20446.mp3]
A20447	empfehlen				empfiehlt, hat empfohlen	Welchen Wein können Sie mir empfehlen?	to recommend	Which wine can you recommend?	[sound:word_A20447.mp3]	[sound:sentence_A20447.mp3]
A20448	Ende	das	-n			Sie wohnt am Ende der Straße.	the End	She lives at the end of the street.	[sound:word_A20448.mp3]	[sound:sentence_A20448.mp3]
A20449	Ende	das	-n			Er bekommt sein Geld am Monatsende.	the End	He gets his money at the end of the month.	[sound:word_A20449.mp3]	[sound:sentence_A20449.mp3]
A20450	enden				endet, hat geendet	Die Straße endet hier.	to end in (sth.) / to finish / to close	The road ends here.	[sound:word_A20450.mp3]	[sound:sentence_A20450.mp3]
A20451	enden				endet, hat geendet	Der Kurs endet in einer Woche.	to end in (sth.) / to finish / to close	The course ends in one week.	[sound:word_A20451.mp3]	[sound:sentence_A20451.mp3]
A20452	endlich					Wann kommst du endlich? Der Film fängt gleich an.	finally / at last	When are you coming? The film is about to start.	[sound:word_A20452.mp3]	[sound:sentence_A20452.mp3]
A20453	endlich					Endlich bist du da!	finally / at last	You're finally here!	[sound:word_A20453.mp3]	[sound:sentence_A20453.mp3]
A20454	eng					Diese Hose ist zu eng. Gibt es sie auch eine Nummer größer?	tight / narrow / cramped	These trousers are too tight. Are they available in a larger size?	[sound:word_A20454.mp3]	[sound:sentence_A20454.mp3]
A20455	sich entschuldigen				entschuldigt, hat entschuldigt	Entschuldigen Sie bitte!	to apologize	Excuse me, please!	[sound:word_A20455.mp3]	[sound:sentence_A20455.mp3]
A20456	sich entschuldigen				entschuldigt, hat entschuldigt	Ich möchte mich bei dir entschuldigen.	to apologize	I would like to apologise to you.	[sound:word_A20456.mp3]	[sound:sentence_A20456.mp3]
A20457	Entschuldigung	die	-en			Oh, Entschuldigung! - Macht nichts. Kein Problem.	excuse / apology	Oh, sorry! - Never mind. No problem.	[sound:word_A20457.mp3]	[sound:sentence_A20457.mp3]
A20458	Erdgeschoss	das	-e			Ich wohne im Erdgeschoss.	ground floor	I live on the ground floor.	[sound:word_A20458.mp3]	[sound:sentence_A20458.mp3]
A20459	Erfahrung	die	-en			Ich habe zehn Jahre Erfahrung in diesem Beruf.	experience	I have ten years of experience in this profession.	[sound:word_A20459.mp3]	[sound:sentence_A20459.mp3]
A20460	sich erinnern				erinnert, hat erinnert	Erinnerst du dich an José? - Nein, ich erinnere mich nicht an ihn, tut mir leid.	to remember	Do you remember José? - No, I don't remember him, I'm sorry.	[sound:word_A20460.mp3]	[sound:sentence_A20460.mp3]
